"","Community","who_occupies","zip_code","latitude","longitude","count_vacant"
"36","Auburn Gresham",TRUE,"60620","41.75001631393794","-87.64158321917046",26
"37","Auburn Gresham",TRUE,"60620","41.75003152888885","-87.64035899588276",26
"38","Auburn Gresham",TRUE,"60620","41.7518206177183","-87.6416314013769",26
"39","Auburn Gresham",TRUE,"60620","41.74992408918181","-87.64158054464394",26
"40","South Chicago",TRUE,"60617","41.737259233621636","-87.55835398842825",13
"41","Auburn Gresham",TRUE,"60620","41.75151665467023","-87.64162381290126",26
"42","Auburn Gresham",TRUE,"60620","41.75200439577824","-87.64285701657192",26
"43","Auburn Gresham",TRUE,"60620","41.75038462345242","-87.64281344750046",26
"44","New City",TRUE,"60609","41.8024520044359","-87.6757525932061",10
"45","Austin",TRUE,"60644","41.882353177908264","-87.768197434401",18
"46","Chatham",TRUE,"60619","41.726526755531815","-87.61025670138969",8
"47","Greater Grand Crossing",TRUE,"60619","41.75916600005182","-87.59931124168445",12
"48","South Lawndale",TRUE,"60608","41.84832710022736","-87.6909800869387",6
"49","Gage Park",TRUE,"60632","41.79658821528991","-87.68899841315664",2
"50","West Pullman",TRUE,"60628","41.66301779985963","-87.6390029641515",20
"51","West Pullman",TRUE,"60643","41.68114378511901","-87.64688850665965",20
"52","Auburn Gresham",TRUE,"60620","41.73165833708734","-87.64106132167225",26
"53","Chicago Lawn",TRUE,"60629","41.76283355097082","-87.68563761312737",13
"54","Chicago Lawn",TRUE,"60636","41.77660154380521","-87.67978756280658",13
"55","Brighton Park",TRUE,"60632","41.81850805414322","-87.7019135951242",3
"56","North Lawndale",TRUE,"60623","41.86190603552373","-87.72383101209643",13
"57","Roseland",TRUE,"60628","41.69073083895145","-87.62650727212879",18
"58","North Lawndale",TRUE,"60624","41.868011900200166","-87.72348539329901",13
"59","Greater Grand Crossing",TRUE,"60619","41.755811953498025","-87.61506455453612",12
"60","Austin",TRUE,"60644","41.878091531042706","-87.74110670860908",18
"61","Chicago Lawn",TRUE,"60629","41.763867610826004","-87.70768810148401",13
"62","New City",TRUE,"60609","41.79871662739555","-87.6707911802063",10
"63","Greater Grand Crossing",TRUE,"60619","41.7652243058937","-87.60921036047925",12
"64","South Chicago",TRUE,"60617","41.74602740326264","-87.5588574591493",13
"65","Greater Grand Crossing",TRUE,"60619","41.76529813838886","-87.60921209613107",12
"66","South Shore",TRUE,"60649","41.766243831948785","-87.57630225914129",13
"67","West Englewood",TRUE,"60636","41.781113295211696","-87.65580224979419",35
"68","Austin",TRUE,"60651","41.89593321636101","-87.76067576045008",18
