"","Community","community_area_number","property_type","zip_code","affordable_units_no","x_coordinate","y_coordinate","latitude","longitude","location"
"403","Auburn Gresham",71,"Senior HUD 202",60620,80,1169422.93,1852437.468,41.75059341,-87.65472675,"(41.7505934139213, -87.6547267546359)"
"404","Edgewater",77,"Multifamily",60660,105,1167941.813,1937401.257,41.9837729,-87.65770384,"(41.9837729036918, -87.6577038394096)"
"405","New City",61,"Senior",60609,110,1171337.269,1868414.146,41.7943937,-87.64724467,"(41.7943936951386, -87.6472446716785)"
"406","Englewood",68,"Veterans",60621,36,1171608.816,1865691.133,41.78691549,-87.64632871,"(41.786915494505976, -87.64632871262232)"
"407","Chatham",44,"Supportive Housing",60619,72,1184284.153,1850796.894,41.74575696,-87.60031991,"(41.7457569580527, -87.6003199106909)"
"408","Logan Square",22,"Multifamily",60647,3,1154255.08,1912027.168,41.91442987,-87.70872156,"(41.9144298729108, -87.7087215553095)"
"409","Near South Side",33,"SRO",60605,207,1177054.325,1892851.446,41.86132451,-87.62554226,"(41.86132451284019, -87.62554225942642)"
"410","West Town",24,"ARO",60622,6,1164833.069,1908092.562,41.90341508,-87.66997144,"(41.9034150774464, -87.6699714414076)"
"411","Oakland",36,"Senior",60653,148,1181955.52,1880134.932,41.82631731,-87.60794545,"(41.8263173139507, -87.6079454471381)"
"412","Uptown",3,"Multifamily",60640,69,1169619.113,1931130.186,41.96652845,-87.65171856,"(41.9665284532214, -87.6517185639434)"
"413","Near West Side",28,"ARO",60607,33,1168192.563,1898815.541,41.87788633,-87.65789958,"(41.8778863348772, -87.6578995834111)"
"414","Near North Side",8,"ARO",60622,24,1171812.25,1908210.388,41.90358744,-87.64433208,"(41.9035874397858, -87.6443320835899)"
"415","Austin",25,"Supportive Housing",60644,39,1137091.152,1900686.673,41.88363584,-87.77205264,"(41.88363584043627, -87.77205264211287)"
"416","Near West Side",28,"Multifamily",60612,92,1161390.347,1900920.966,41.88380799,-87.68281702,"(41.8838079875001, -87.6828170157199)"
"417","Douglas",35,"Multifamily",60653,81,1178156.714,1880953.421,41.82865048,-87.62185747,"(41.82865048399134, -87.62185747240224)"
"418","Logan Square",22,"Multifamily",60647,3,1154721.064,1911891.217,41.91404749,-87.70701324,"(41.9140474872389, -87.7070132389676)"
"419","Kenwood",29,"Multifamily",60615,122,1184333.98,1874034.569,41.80952205,-87.59941065,"(41.80952205256069, -87.59941064804501)"
"420","Near West Side",28,"Supportive",60607,89,1165979.3,1900396.393,41.88227183,-87.66598098,"(41.8822718276684, -87.6659809766924)"
"421","Humboldt Park",23,"Supportive Housing",60647,25,1152358.007,1910361.089,41.9098957,-87.71573523,"(41.9098957006716, -87.7157352286005)"
"422","Near West Side",28,"ARO",60607,16,1169278.088,1898384.787,41.8766808,-87.65392634,"(41.876680801678525, -87.65392634483864)"
"423","Near  South Side",33,"Senior",60605,91,1177467.191,1894587.503,41.86607901,-87.62397407,"(41.86607901435018, -87.62397407028845)"
"424","North Park",13,"Senior",60646,137,1148723.501,1938044.237,41.98593151,-87.72836921,"(41.9859315141827, -87.7283692100341)"
"425","Humboldt Park",23,"Multifamily",60624,6,1152342.728,1903805.745,41.89190751,-87.71596466,"(41.8919075104178, -87.7159646598521)"
"426","Woodlawn",42,"Multifamily",60637,42,1184316.038,1861429.077,41.77493196,-87.59987091,"(41.7749319631987, -87.5998709116872)"
"427","Englewood",68,"Senior",60621,102,1171685.363,1862689.261,41.77867633,-87.64613601,"(41.77867633250194, -87.64613601414938)"
"428","Norwood Park",10,"Senior",60631,84,1127328.815,1937441.873,41.98466628,-87.80707301,"(41.9846662832426, -87.8070730078682)"
"429","Oakland",36,"Multifamily",60653,6,1184448.129,1877628.139,41.81938039,-87.59887932,"(41.8193803897797, -87.5988793227119)"
"430","Grand Boulevard",38,"Multifamily",60653,20,1179638.248,1877940.683,41.8203495,-87.61651411,"(41.820349500309, -87.6165141094717)"
"431","Grand Boulevard",38,"Multifamily",60653,81,1181681.401,1876615.505,41.81666609,-87.60905996,"(41.81666609459, -87.6090599646745)"
"432","Uptown",3,"Supportive",60640,70,1167071.996,1929651.057,41.96252489,-87.66112652,"(41.96252489219771, -87.66112652498248)"
"433","Near South Side",33,"Senior",60616,151,1176346.441,1889816.861,41.85301339,-87.62823221,"(41.8530133902049, -87.6282322110359)"
"434","Lake View",6,"Senior LGBTQ",60613,79,1170240.93,1924164.847,41.94740173,-87.64963658,"(41.9474017349803, -87.6496365843957)"
"435","West Garfield Park",26,"Supportive Housing",60612,52,1157527.975,1898606.336,41.87753589,-87.69706305,"(41.8775358857993, -87.6970630483414)"
"436","Gage Park",63,"Senior",60629,59,1155572.425,1865354.407,41.78632804,-87.70513618,"(41.7863280449868, -87.7051361750491)"
"437","Oakland",36,"Multifamily",60653,81,1184020.764,1877980.711,41.82035789,-87.60043601,"(41.8203578869792, -87.6004360121251)"
"438","North Lawndale",29,"Multifamily",60623,26,1150056.063,1890463.503,41.85533972,-87.72471008,"(41.8553397217037, -87.7247100762886)"
"439","West Town",24,"Supportive/Veterans",60622,48,1156229.026,1906960.648,41.90048723,-87.70160663,"(41.9004872304807, -87.701606631524)"
"440","Logan Square",22,"ARO",60647,3,1156536.742,1913073.871,41.91725621,-87.70031066,"(41.9172562068666, -87.7003106604857)"
"441","Grand Boulevard",38,"Senior",60615,60,1182079.08,1871653.126,41.80303973,-87.60775489,"(41.8030397258336, -87.6077548851795)"
"442","West Englewood",67,"Multifamily",60636,71,1166121.345,1862956.686,41.77953039,-87.66652651,"(41.7795303859505, -87.6665265091554)"
"443","Grand Boulevard",38,"Multifamily",60615,21,1181729.297,1872129.617,41.80435535,-87.60902296,"(41.8043553511156, -87.6090229601074)"
"444","North Lawndale",29,"Multifamily",60612,42,1156574.009,1894894.51,41.86736961,-87.70066623,"(41.8673696100651, -87.7006662254259)"
"445","Douglas",35,"Senior",60653,152,1179348.36,1879907.496,41.82575322,-87.61751743,"(41.8257532207213, -87.6175174281735)"
"446","Near West Side",28,"ARO",60607,70,1167941.14691492,1901872.48531868,41.8862802428956,-87.6587344871331,"(41.886280242895666, -87.6587344871331)"
"447","North Park",13,"Senior",60646,180,1148723.501,1938044.237,41.98593151,-87.72836921,"(41.9859315141827, -87.7283692100341)"
"448","Humboldt Park",23,"Multifamily",60624,27,1153649.603,1903659.52,41.89148035,-87.71116895,"(41.8914803509781, -87.7111689514043)"
"449","Armour Square",34,"Multifamily",60616,147,1174528.583,1889278.897,41.85157794,-87.63492034,""
"450","Douglas",35,"Multifamily",60609,12,1176772.49,1880503.014,41.82744587,-87.62694964,"(41.8274458746058, -87.6269496359167)"
"451","Belmont Cragin",19,"ARO",60634,3,1138569.742,1918921.633,41.93364805,-87.7661803,"(41.9336480471609, -87.7661803002324)"
"452","South Lawndale",30,"Multifamily",60623,29,1153098.302,1885797.728,41.84247656,-87.71366715,"(41.8424765579916, -87.7136671490412)"
"453","Garfield Ridge",56,"Senior",60638,87,1129403.745,1864822.912,41.78535412,-87.801098,"(41.7853541248735, -87.8010979955144)"
"454","West Englewood",67,"Multifamily",60636,52,1163257.203,1862800.707,41.77916282,-87.6770312,"(41.7791628235362, -87.67703119707)"
"455","Douglas",35,"Multifamily",60609,72,1176529.6,1880409.309,41.82719422,-87.62784358,"(41.82719421911, -87.6278435793213)"
"456","Lake View",6,"Supportive",60657,51,1169002.943,1921540.76,41.94022814,-87.65426349,"(41.9402281367541, -87.6542634881766)"
"457","Washington Park",40,"Multifamily",60637,56,1178164.22,1864572.055,41.78369838,-87.62232714,"(41.78369838167961, -87.62232713678218)"
"458","West Town",22,"ARO",60647,3,1160128.527,1911668.447,41.91332611,-87.68715329,"(41.9133261116844, -87.68715328833)"
"459","East Garfield Park",27,"Multifamily",60624,52,1152417.178,1895758.869,41.86982456,-87.71590385,"(41.8698245594426, -87.7159038458016)"
"460","East Garfield Park",27,"Multifamily/Artists",60624,24,1153767.678,1899627.529,41.88041381,-87.71084273,"(41.8804138114539, -87.7108427297598)"
"461","South Shore",43,"Artists & Families",60637,32,1187273.42,1858913.338,41.76795883,-87.58910953,"(41.767958834450795, -87.58910952643669)"
"462","Englewood",68,"Supportive Housing",60621,45,1171373.661,1863023.368,41.77959999,-87.64726896,"(41.7795999913491, -87.647268959761)"
"463","Oakland",36,"Multifamily",60653,6,1184665.38,1877176.162,41.81813504,-87.59809656,"(41.818135036696, -87.5980965590227)"
"464","Ashburn",70,"Senior",60652,85,1158906.934,1852040.954,41.74972646,-87.69327334,"(41.7497264566211, -87.6932733372306)"
"465","Woodlawn",42,"Multifamily",60637,33,1182661.471,1864419.23,41.78317579,-87.60584352,"(41.783175785112, -87.6058435155323)"
"466","North Center",5,"ARO",60613,4,1163245.359,1929209.633,41.96139512,-87.67520801,"(41.9613951199669, -87.6752080062593)"
"467","Washington Park",40,"People with Disabilities",60615,85,1178127.358,1868790.595,41.7952753,-87.62233438,"(41.7952753030787, -87.6223343775137)"
"468","Douglas",35,"Multifamily",60609,6,1176848.892,1880973.883,41.82873626,-87.62665512,"(41.8287362551999, -87.6266551179107)"
"469","Grand Boulevard",38,"Multifamily",60653,38,1182295.45,1875978.517,41.81490392,-87.60682726,"(41.8149039242413, -87.6068272642158)"
"470","Near North Side",8,"Multifamily",60610,116,1172154.289,1908220.998,41.90360901,-87.6430754,"(41.9036090085436, -87.6430753953974)"
"471","North Lawndale",29,"Multifamily",60608,10,1158535.345,1893803.561,41.86433604,-87.69349569,"(41.8643360428425, -87.6934956949133)"
"472","Loop",32,"ARO",60605,23,1177375.505,1895971.036,41.86987759,-87.6242686986725,""
"473","Logan Square",22,"ARO",60647,12,1158283.98,1914416.08,41.92090376,-87.6938545,"(41.9209037607771, -87.6938544995202)"
"474","Woodlawn",42,"Multifamily",60637,6,1182886.226,1862714.794,41.77849343,-87.60507242,"(41.7784934339328, -87.6050724236176)"
"475","Roseland",49,"Supportive Housing",60628,50,1176951.402,1831516.016,41.69301591,-87.62776735,"(41.6930159120977, -87.6277673462214)"
"476","Douglas",35,"Senior",60653,120,1179441.358,1879836.399,41.825556,-87.61717842,"(41.8255559976103, -87.6171784180992)"
"477","South Lawndale",30,"Multifamily",60623,2,1152765.059,1888679.589,41.85039133,-87.7148139,"(41.8503913261082, -87.7148138990107)"
"478","Lake View",6,"ARO",60657,8,1165079.655,1922988.589,41.94428543,-87.668641546406,"(41.94428543256419, -87.668641546406)"
"479","Uptown",3,"Women's Supportive",60640,10,1168716.801,1932469.91,41.97022435,-87.6549972,"(41.970224345725285, -87.6549971996707)"
"480","Albany Park",14,"Senior",60625,56,1154133.125,1931889.16,41.96893506,-87.70863783,"(41.9689350644141, -87.7086378257316)"
"481","South Deering",51,"Senior",60617,86,1193007.252,1839809.525,41.71539824,-87.56871495,"(41.7153982407788, -87.5687149518265)"
"482","Lake View",6,"ARO",60657,11,1171266.718,1923235.211,41.94482827,-87.64589349,"(41.94482826560603, -87.64589348837235)"
"483","Roseland",49,"Multifamily",60628,40,1178893.699,1835198.534,41.70307738,-87.62054468,"(41.7030773785091, -87.6205446770862)"
"484","Humboldt Park",23,"Multifamily",60647,6,1152601.045,1910933.782,41.91146242,-87.71482723,"(41.9114624187205, -87.7148272291204)"
"485","West Town",24,"Multifamily",60622,3,1159853.176,1909475.952,41.90731543,-87.68822545,"(41.9073154253631, -87.6882254516982)"
"486","Lake View",6,"ARO",60657,2,1164033.827,1923207.502,41.94490833,-87.67247934,"(41.9449083304908, -87.6724793376448)"
"487","West Town",24,"ARO",60647,20,1165062.198,1908099.432,41.90342906,-87.66912961,"(41.9034290632559, -87.6691296062709)"
"488","Loop",32,"Multifamily",60601,16,1174747.572,1901307.252,41.88457966,-87.63375683,"(41.8845796629736, -87.6337568335385)"
"489","Logan Square",22,"Multifamily",60647,6,1154251.058,1912153.096,41.91477551,-87.70873296,"(41.9147755105005, -87.7087329617065)"
"490","West Town",22,"People with Disabilities",60622,17,1157480.326,1907439.713,41.90177645,-87.69699748,"(41.90177644987999, -87.6969974803004)"
"491","Albany Park",14,"Senior",60630,97,1145674.754,1931569.979,41.96822423,-87.73974749,"(41.9682242320605, -87.7397474865535)"
"492","Uptown",3,"ARO",60640,3,1169493.3772929,1929989.653,41.96340154,-87.65221421,"(41.9634015395821, -87.6522142080034)"
"493","Woodlawn",42,"Senior",60637,65,1182583.342,1864354.944,41.78300119,-87.60613195,"(41.7830011908191, -87.6061319506967)"
"494","Douglas",35,"ARO",60616,1,1178560.467,1884464.478,41.8382759,-87.62026922,"(41.8382759033884, -87.6202692165246)"
"495","Woodlawn",42,"Multifamily",60637,6,1183196.24,1862140.115,41.77690925,-87.60395378,"(41.7769092522879, -87.6039537769831)"
"496","Grand Boulevard",38,"Multifamily",60609,220,1176982.246,1875311.407,41.81319493,-87.6263368,"(41.8131949278106, -87.6263367998472)"
"497","Oakland",36,"Multifamily",60653,534,1180730.096,1879250.693,41.8239192,-87.61246844,"(41.8239192006736, -87.6124684434156)"
"498","Uptown",3,"Multifamily",60640,160,1169410.724,1930422.942,41.9645923,-87.65250544,"(41.9645923008648, -87.6525054365529)"
"499","Uptown",3,"Multifamily",60640,6,1167071.996,1929651.057,41.96252489,-87.66112652,"(41.96252489219771, -87.66112652498248)"
"500","Grand Boulevard",38,"Multifamily",60653,60,1179638.248,1877940.683,41.8203495,-87.61651411,"(41.820349500309, -87.6165141094717)"
"501","Humboldt Park",23,"Multifamily",60612,4,1155202.993,1904711.76,41.89433675,-87.70543577,"(41.89433674506332, -87.70543577020683)"
"502","Edgewater",77,"Multifamily",60660,108,1167688.709,1941496.368,41.99501546,-87.65851604,"(41.9950154575665, -87.6585160357341)"
"503","Near West Side",28,"Multifamily",60608,124,1168817.278,1893757.841,41.8639941,-87.65575239,"(41.8639940987888, -87.6557523872438)"
"504","Near South Side",33,"ARO",60616,10,1177122.368,1890143.367,41.85389182,-87.62537446,"(41.8538918245058, -87.6253744575475)"
"505","West Lawn",65,"Seniors",60629,89,1145974.074,1859144.924,41.76947523,-87.74048606,"(41.7694752347327, -87.7404860550053)"
"506","Woodlawn",42,"Multifamily",60637,67,1186722.404,1864209.572,41.78250522,-87.59096164,"(41.782505219358, -87.5909616432556)"
"507","Bridgeport",19,"Senior",60608,55,1168114.67,1885548.333,41.84148167,-87.65856844,"(41.84148167339779, -87.65856843550151)"
"508","South Chicago",46,"Senior Supportive Living",60617,112,1199523.085,1844538.456,41.72821355,-87.54469279,"(41.7282135463978, -87.5446927938825)"
"509","Grand Boulevard",38,"Artist Live/Work Space",60653,16,1180131.926,1873998.52,41.80952057,-87.61482402,"(41.8095205688443, -87.6148240160309)"
"510","North Lawndale",29,"Multifamily",60608,7,1158531.931,1893930.095,41.86468333,-87.69350477,"(41.8646833344944, -87.6935047652592)"
"511","Auburn Gresham",71,"Senior",60620,72,1166895.24,1847057.796,41.73588515,-87.66414272,"(41.7358851522607, -87.6641427165593)"
"512","South Shore",43,"Senior",60649,87,1196631.912,1854159.484,41.7546866,-87.55496472,"(41.7546866025245, -87.5549647164794)"
"513","Uptown",3,"Senior",60613,13,1168438.959,1929421.65,41.96186585,-87.65610743,"(41.9618658532981, -87.656107428372)"
"514","Grand Boulevard",38,"Senior HUD 202",60653,63,1177427.156,1875236.623,41.81297966,-87.62470713,"(41.812979659555, -87.6247071273336)"
"515","Near West Side",28,"ARO",60607,9,1169996.992,1900682.032,41.88296896,-87.65121973,"(41.8829689598866, -87.6512197347754)"
"516","Woodlawn",42,"Multifamily",60637,63,1182692.163,1863173.729,41.7797573,-87.60576963,"(41.7797573035967, -87.6057696254993)"
"517","Lake View",6,"ARO",60657,2,1164928.833,1921523.945,41.94026958,-87.66923761,"(41.9402695807229, -87.6692376073269)"
"518","Grand Boulevard",38,"Multifamily",60615,5,1181481.554,1872046.51,41.80413302,-87.60993412,"(41.8041330240218, -87.6099341196123)"
"519","Uptown",3,"ARO",60640,35,1167357.302,1933882.339,41.97412953,-87.6599553,"(41.9741295261027, -87.6599553011627)"
"520","Garfield Ridge",56,"Senior",60638,56,1145216.815,1871992.721,41.80474599,-87.74293848,"(41.8047459933631, -87.7429384797351)"
"521","West Englewood",67,"Multifamily",60636,12,1163331.993,1862802.809,41.77916703,-87.67675695,"(41.7791670261036, -87.6767569483975)"
"522","East Garfield Park",27,"Multifamily",60624,108,1152480.61,1895702.738,41.86966928,-87.71567245,"(41.8696692769002, -87.7156724505967)"
"523","West Ridge",2,"Senior",60660,89,1162949.472,1939941.189,41.99084916,-87.67599309,"(41.9908491576843, -87.6759930883639)"
"524","Washington Park",40,"Multifamily",60637,5,1178814.52,1864578.625,41.78370163,-87.61994272,"(41.7837016280704, -87.6199427242499)"
"525","Lake View",6,"ARO",60613,2,1170305.662,1926158.031,41.95286969,-87.64934018,"(41.9528696876172, -87.6493401793848)"
"526","Uptown",3,"ARO",60640,7,1168829.31,1930666.235,41.96527256,-87.65463604,"(41.965272561138, -87.6546360379986)"
"527","Roseland",49,"Supportive Housing",60628,40,1176448.512,1833690.986,41.69899564,-87.62954345,"(41.6989956380033, -87.6295434504419)"
"528","Logan Square",22,"Multifamily",60647,3,1152977.196,1913047.516,41.91725524,-87.71338923,"(41.9172552391374, -87.7133892334538)"
"529","Montclare",18,"Senior Supportive Living",60707,78,1130150.063,1915088.087,41.923277,-87.79721089,"(41.92327700208769, -87.79721089340802)"
"530","Roseland",49,"Senior",60628,81,1178829.401,1835494.405,41.70389075,-87.62077116,"(41.7038907515241, -87.6207711552983)"
"531","Uptown",3,"Senior",60613,231,1168832.75,1927172.303,41.95568502,-87.65472513,"(41.9556850172763, -87.6547251281064)"
"532","Austin",25,"Multifamily",60644,12,1139234.68,1898405.584,41.8773375,-87.76423685,"(41.8773374950883, -87.7642368505251)"
"533","West Town",24,"ARO",60642,3,1168866.667,1905178.379,41.89533182,-87.65523984,"(41.8953318242, -87.6552398396278)"
"534","West Ridge",2,"Senior",60645,14,1159043.161,1945096.219,42.00507612,-87.69021903,"(42.0050761227234, -87.6902190302217)"
"535","Edgewater",77,"Multifamily",60660,6,1167225.117,1941025.828,41.9937343,-87.66023494,"(41.9937342988581, -87.6602349438158)"
"536","Uptown",3,"Multifamily",60640,6,1169310.725,1929445.614,41.96191266,-87.65290164,"(41.96191266175898, -87.65290163994482)"
"537","Lake View",6,"ARO",60613,2,1167923.765,1924431.746,41.94818452,-87.65814611,"(41.948184520219066, -87.65814610572426)"
"538","West Pullman",53,"Senior",60643,70,1172827.454,1826559.72,41.67950676,-87.6430113,"(41.6795067550453, -87.6430113026999)"
"539","Near North Side",8,"ARO",60610,32,1174524.397,1906411.103,41.8985899,-87.63442369,"(41.89858990433527, -87.634423692947)"
"540","Oakland",36,"Multifamily",60653,3,1184432.115,1877384.382,41.81871188,-87.59894571,"(41.8187118791618, -87.5989457091247)"
"541","Humboldt Park",23,"Multifamily",60624,6,1152648.978,1903805.805,41.89190162,-87.71483993,"(41.8919016207191, -87.7148399289988)"
"542","Greater Grand Crossing",69,"Artist Housing",60619,32,1187273.42,1858913.338,41.76795883,-87.58910953,"(41.7679588344507, -87.5891095264366)"
"543","Woodlawn",42,"Multifamily",60637,117,1187957.596,1862318.637,41.77728699,-87.58649335,"(41.7772869880935, -87.586493351533)"
"544","North Lawndale",29,"Supportive/Youth/Kinship Families",60624,32,1149479.823,1894358.781,41.86604003,-87.72672414,"(41.8660400255621, -87.7267241436599)"
"545","West Town",24,"ARO",60622,4,1163828.869,1905410.003,41.89607519,-87.67373584,"(41.8960751867522, -87.6737358366883)"
"546","West Town",24,"ARO",60622,2,1163033.416,1910701.375,41.91061185,-87.67650857,"(41.9106118451822, -87.6765085657742)"
"547","Grand Boulevard",38,"Multifamily",60653,239,1177902.205,1874091.161,41.80982565,-87.62299938,"(41.8098256489654, -87.6229993768141)"
"548","Lake View",6,"ARO",60613,1,1166356.459,1924520.278,41.94846119,-87.66390462,"(41.9484611934317, -87.6639046213447)"
"549","Austin",22,"Multifamily",60647,30,1152932.106,1911940.497,41.91421838,-87.71358429,"(41.9142183770542, -87.7135842865605)"
"550","North Lawndale",29,"Multifamily",60608,29,1158282.873,1893724.634,41.86412462,-87.69442467,"(41.8641246191184, -87.694424669823)"
"551","Humboldt Park",23,"Senior",60647,69,1152271.525,1910359.241,41.90989234,-87.71605298,"(41.9098923381712, -87.7160529794187)"
"552","Woodlawn",42,"Multifamily",60637,67,1182676.847,1863775.147,41.781408,-87.60580712,"(41.7814080036687, -87.6058071227519)"
"553","Pullman",50,"Multifamily",60628,210,1184202.937,1836150.183,41.70556659,-87.60107403,"(41.7055665941817, -87.6010740303264)"
"554","Woodlawn",42,"Senior",60637,17,1186094.259,1864312.843,41.78280346,-87.59326131,"(41.782803460278, -87.5932613147048)"
"555","Humboldt Park",23,"Multifamily",60647,111,1153823.719,1911621.628,41.91332565,-87.71031714,"(41.9133256466417, -87.7103171383554)"
"556","Uptown",3,"ARO",60640,6,1165662.258,1930140.186,41.96389731,-87.66629556,"41 96389731224472"
"557","North Lawndale",29,"Veterans",60612,90,1157090.217,1894613.231,41.8665873,-87.69877877,"(41.8665872953847, -87.6987787748764)"
"558","Lincoln Park",7,"People with Disabilities",60614,14,1170546.591,1917225.736,41.92835383,-87.64871676,"(41.928353829716904, -87.64871675547464)"
"559","Grand Boulevard",38,"Multifamily",60615,24,1182124.435,1871654.416,41.80304222,-87.60758851,"(41.803042215953, -87.6075885067614)"
"560","Oakland",36,"Multifamily",60653,6,1184352.47,1877438.04,41.81886099,-87.59923619,"(41.8188609892833, -87.5992361922266)"
"561","Austin",25,"Multifamily",60644,40,1139038.208,1898825.974,41.87849467,-87.76494803,"(41.8784946733449, -87.7649480304947)"
"562","Logan Square",22,"Multifamily",60612,96,1155995.815,1916357.844,41.92627863,-87.70220924,"(41.9262786289595, -87.7022092386702)"
"563","Near North Side",8,"ARO",60610,1,1172235.681,1906133.684,41.8978795,-87.64283814,"(41.8978795039922, -87.6428381376954)"
"564","Douglas",35,"Multifamily",60609,80,1176856.611,1880678.422,41.82792531,-87.62663572,"(41.827925310886, -87.6266357171471)"
"565","Garfield Ridge",56,"Senior",60638,85,1143675.613,1872964.362,41.80744124,-87.74856678,"(41.8074412434739, -87.7485667790425)"
"566","Lake View",6,"ARO",60657,5,1169533.106,1922098.583,41.94174729,-87.65229869,"(41.9417472878147, -87.6522986894853)"
"567","Near West Side",28,"Multifamily",60612,42,1163284.257,1901334.737,41.8849038,-87.67585077,"(41.8849038014928, -87.675850768228)"
"568","South Chicago",46,"Supportive Housing",60617,23,1195337.919,1849509.651,41.74195912,-87.5598599,"(41.7419591237961, -87.5598598952004)"
"569","Avalon Park",45,"Senior",60619,102,1185587.742,1853564.459,41.75332086,-87.5954564,"(41.75332086089, -87.5954564008654)"
"570","Near North Side",8,"ARO",60610,21,1173428.391,1909646.778,41.9074932,-87.63835294,"(41.9074931960316, -87.638352940941)"
"571","Humboldt Park",23,"Multifamily",60624,6,1155403.532,1903205.531,41.89019948,-87.70473978,"(41.8901994819175, -87.7047397753891)"
"572","Near West Side",28,"ARO",60607,3,1168300.729,1896799.341,41.87235139,-87.65756071,"(41.8797620924696, -87.6589883360869)"
"573","Roseland",49,"Inter-generational",60628,10,1178767.713,1835996.433,41.70526978,-87.62098184,"(41.7052697846438, -87.6209818376544)"
"574","Humboldt Park",23,"Multifamily",60624,6,1152627.179,1903731.702,41.89169871,-87.71492195,"(41.8916987069965, -87.7149219479465)"
"575","Rogers Park",1,"ARO",60626,3,1163535.311,1947041.333,42.01031978,-87.67363702,"(42.0103197756509, -87.6736370200105)"
"576","South Shore",43,"Senior",60649,84,1194467.28,1855300.561,41.75787127,-87.56285983,"(41.757871272437, -87.5628598348934)"
"577","Near West Side",28,"ARO",60608,7,1168331.384,1892984.019,41.86188118,-87.65755844,"(41.86188117554516, -87.65755843617394)"
"578","Washington Park",40,"People with Disabilities",60637,25,1178188.164,1178188.164,41.78915201,-87.62217908,"(41.7891520073212, -87.6221790761558)"
"579","Logan Square",22,"Multifamily",60647,3,1152547.355,1912706.661,41.91632842,-87.71497751,"(41.9163284200712, -87.7149775129236)"
"580","Grand Boulevard",38,"Multifamily",60609,181,1176907.636,1878122.623,41.82091083,-87.62652565,"(41.8209108341935, -87.6265256539288)"
"581","Logan Square",22,"ARO",60647,1,1158751.315,1913231.215,41.91764283,-87.69216996,"(41.917642826462, -87.6921699562562)"
"582","Woodlawn",42,"Multifamily",60637,84,1186573.262,1863816.865,41.78143113,-87.59152085,"(41.781431130748, -87.5915208532369)"
"583","Lake View",6,"ARO",60657,2,1171668.171,1920857.17,41.93829399,-87.64448816,"(41.9382939864091, -87.6444881624503)"
"584","Washington Park",40,"Multifamily",60637,12,1179107.395,1864667.296,41.78393828,-87.61886624,"(41.7839382763516, -87.6188662442677)"
"585","Lake View",6,"ARO",60657,1,1166360.814,1921458.364,41.94005906,-87.6639765,"(41.9400590614586, -87.663976501825)"
"586","East Garfield Park",27,"Supportive Housing",60612,90,1157527.975,1898606.336,41.87753589,-87.69706305,"(41.8775358857993, -87.6970630483414)"
"587","Near West Side",28,"ARO",60607,75,1167876.373,1901318.58,41.88476168,-87.65898834,"(41.88476168481302, -87.6589883360869)"
"588","Irving Park",16,"Senior",60618,51,1154285.687,1927005.643,41.95553133,-87.70820786,"(41.9555313337016, -87.7082078564992)"
"589","West Town",24,"ARO",60622,1,1165486.105,1907421.224,41.901559,-87.66759184,"(41.9015589972665, -87.6675918419615)"
"590","Washington Park",40,"Multifamily",60653,24,1178662.056,1865432.916,41.78604936,-87.62047574,"(41.786049356749, -87.6204757368767)"
"591","Uptown",3,"ARO",60640,5,1165171.809,1933139.263,41.97213736,-87.66801316,"(41.9721373560187, -87.668013158017)"
"592","Grand Boulevard",38,"Multifamily",60653,110,1178081.875,1876584.156,41.81666256,-87.62226472,"(41.8166625649533, -87.622264717481)"
"593","South Shore",43,"Multifamily",60649,18,1189376.954,1858721.452,41.76738208,-87.58140538,"(41.7673820795833, -87.58140538023)"
"594","Uptown",3,"ARO",60640,8,1167546.298,1934240.17,41.97510735,-87.65924996,"(41.975107346793216, -87.65924996027928)"
"595","West Town",24,"ARO",60647,9,1160060.293,1911240.1,41.91215211,-87.68741582,"(41.9121521055374, -87.6874158168675)"
"596","Douglas",35,"Multifamily",60616,134,1179206.472,1887158.196,41.84565291,-87.61781639,"(41.8456529117633, -87.6178163910093)"
