"","Community","community_area_number","property_type","zip_code","affordable_units_no","x_coordinate","y_coordinate","latitude","longitude","location"
"83","Humboldt Park",23,"Multifamily",60651,15,1148770.589,1908634.274,41.90522727,-87.72895873,"(41.90522727496384, -87.72895872712601)"
"84","Chicago Lawn",66,"Senior",60629,60,1159807.028,1862817.69,41.77928099,-87.68967949,"(41.779280990198, -87.689679486435)"
"85","West Town",24,"ARO",60622,2,1165493.322,1907177.772,41.90089079,-87.66757227,"(41.9008907948967, -87.6675722718045)"
"86","Auburn Gresham",71,"Multifamily",60620,56,1174067.016,1848682.074,41.74018636,-87.63781991,"(41.7401863579865, -87.6378199127676)"
"87","Grand Boulevard",38,"Multifamily",60653,53,1181273.656,1876588.698,41.81660195,-87.61055648,"(41.8166019546134, -87.6105564793175)"
"88","North Lawndale",29,"Multifamily",60608,1,1158530.365,1893988.193,41.86484279,-87.69350892,"(41.8648427948798, -87.6935089238032)"
"89","Humboldt Park",23,"Multifamily",60612,6,1155324.884,1903322.64,41.89052242,-87.70502546,"(41.8905224213702, -87.7050254597132)"
"90","Humboldt Park",23,"Multifamily",60612,12,1155336.105,1903869.285,41.89202224,-87.70496955,"(41.89202224051242, -87.70496954716313)"
"91","Near South Side",33,"ARO",60605,8,1176949.91,1893820.089,41.86398489,-87.62589624,""
"92","Washington Park",40,"Multifamily",60637,56,1179402.842,1867825.622,41.79259828,-87.61768665,"(41.79259828346719, -87.61768665157615)"
"93","Lake View",6,"Senior Supportive Living",60657,97,1165704.848,1921625.294,41.94053116,-87.66638261,"(41.9405311557355, -87.6663826052792)"
"94","Humboldt Park",23,"Multifamily",60651,9,1154314.32,1907834.526,41.90292371,-87.7086161,"(41.9029237079623, -87.708616099157)"
"95","North Lawndale",29,"Multifamily",60624,26,1148552.235,1894414.418,41.86621064,-87.73012799,"(41.86621063540905, -87.73012798528492)"
"96","West Pullman",53,"Senior",60628,60,1174831.25,1825538.503,41.67666008,-87.63570683,"(41.67666008040136, -87.63570682972224)"
"97","Auburn Gresham",71,"Senior HUD 202",60620,59,1172404.466,1851597.134,41.74822238,-87.6438257,"(41.7482223776924, -87.643825698846)"
"98","North Lawndale",29,"Supportive/HIV/AIDS",60623,32,1154939.023,1893956.68,41.86482901,-87.70669366,"(41.8648290105554, -87.706693663235)"
"99","East Garfield Park",27,"Multifamily",60624,42,1152413.693,1896087.181,41.87072555,-87.71590797,"(41.8707255522781, -87.7159079717015)"
"100","Washington Park",40,"Supportive/Kinship Families",60637,28,1179276.077,1868251.46,41.79376972,-87.61813849,"(41.7937697184394, -87.6181384855775)"
"101","Uptown",3,"Supportive Housing",60640,96,1167919.615,1933730.438,41.97370056,-87.65789194,"(41.9737005572223, -87.6578919355485)"
"102","Near West Side",28,"Senior",60608,68,1167767.395,1892902.581,41.86166987,-87.65963108,"(41.8616698672629, -87.6596310829808)"
"103","Oakland",36,"Multifamily",60653,6,1184098.384,1877540.909,41.81914922,-87.60016504,"(41.8191492210611, -87.6001650372999)"
"104","Near West Side",28,"ARO",60607,26,1167351.641,1901500.005,41.88527083,-87.66091,"(41.8852708263977, -87.6609099980396)"
"105","Grand Boulevard",38,"Multifamily",60653,87,1178382.513,1875605.784,41.813971,-87.62119166,"(41.8139709971034, -87.6211916565333)"
"106","Douglas",35,"Mutifamily",60609,12,1176697.68,1880416.049,41.82720892,-87.62722672,"(41.8272089226053, -87.62722672192)"
"107","Lake View",6,"ARO",60657,7,1167546.298,1934240.17,41.97510735,-87.65924996,"(41.975107346793216, -87.65924996027928)"
"108","West Town",24,"ARO",60622,3,1158185.871,1909709.708,41.90799111,-87.69434381,"(41.907991114807, -87.6943438113739)"
"109","New City",61,"Senior",60609,101,1166174.275,1873464.518,41.80836402,-87.66603343,"(41.8083640191309, -87.6660334349939)"
"110","Near North Side",8,"SRO",60610,90,1174865.866,1908692.107,41.90484145,-87.63310113,"(41.904841451218275, -87.63310112695247)"
"111","Fuller Park",37,"Senior",60609,100,1175183.479,1871367.582,41.80241312,-87.63305258,"(41.8024131184468, -87.6330525825815)"
"112","Englewood",68,"People with Disabilities",60621,57,1173046.575,1864479.47,41.78355891,-87.6410929,"(41.7835589091867, -87.6410928974706)"
"113","West Town",24,"ARO",60642,19,1168610.474,1905551.686,41.89636176,-87.65616995,"(41.89636175681587, -87.65616994808683)"
"114","North Lawndale",29,"Multifamily",60608,4,1158281.777,1893762.463,41.86422845,-87.69442766,"(41.8642284473937, -87.6944276610452)"
"115","Logan Square",22,"Multifamily",60647,44,1151994.545,1914090.961,41.92013798,-87.71697197,"(41.9201379786438, -87.71697197414618)"
"116","Lake View",6,"Senior",60657,52,1165713.523,1921292.762,41.93961849,-87.66636023,"(41.93961848643664, -87.6663602297043)"
"117","Uptown",3,"ARO",60640,8,1170420.321,1930790.322,41.96557833,-87.64878266,"41 96557832822343"
"118","Humboldt Park",23,"Multifamily",60624,6,1152924.343,1903817.949,41.89192949,-87.71382831,"(41.8919294933613, -87.7138283058778)"
"119","Riverdale",54,"Senior",60627,75,1180294.274,1818758.372,41.65793125,-87.6159174,"(41.6579312533062, -87.6159174009456)"
